line,text,translated_text
1,Ariadiamus late ariadiamus da,"Rise now, waken, rise now, waken, rise"
2,Ari a natus late adua,"Born of morning, born of light"
3,A-re-va-re tu-e va-te,"Sun a-waits us, breathe and grow"
4,A-re-va-re tu-e va-te,"Sun a-waits us, breathe and grow"
5,A-re-va-re tu-e va-te la-te-a,"Sun a-waits us, breathe and rise up high"
6,Ariadiamus late ariadiamus da,"Rise now, waken, rise now, waken, rise"
7,Ari a natus late adua,"Born of morning, born of light"
8,A-re-va-re tu-e va-te,"Sun a-waits us, breathe and grow"
9,A-re-va-re tu-e va-te,"Sun a-waits us, breathe and grow"
10,A-re-va-re tu-e va-te la-te-a,"Sun a-waits us, breathe and rise up high"
11,A-ne-ma-ne coo-le ra-we,"Spirits gather, calling round"
12,A-ne-ma-ne coo-le ra,"Spirits gather, call"
13,A-ne-ma-ne coo-le ra-we a-ko-la...,"Spirits gather, calling us on..."
14,A-ne-ma-ne coo-le ra-we a-ko-la........,"Spirits gather, calling us on........"
15,Ah-ya-doo-ah-eh,Oh the sky burns
16,A-ne-ma-ne coo-le ra-we a-ko-la.....,"Spirits gather, calling us on....."
17,A-ya-doo-ah-eh...,Oh the sky calls...
18,A-ya doo a-ye,Sun and fire
19,A-ya doo a-ye,Sun and fire
20,A-ne-ma-ne coo-le ra-we,"Spirits gather, calling round"
21,A-ne-ma-ne coo-le ra,"Spirits gather, call"
22,A-ne-ma-ne coo-le ra-we a-ko-la...,"Spirits gather, calling us on..."
23,A-ne-ma-ne coo-le ra-we a-ko-la........,"Spirits gather, calling us on........"
24,Ah-ya-doo-ah-eh,Oh the sky burns
25,A-ne-ma-ne coo-le ra-we a-ko-la.....,"Spirits gather, calling us on....."
26,A-ya-doo-ah-eh...,Oh the sky calls...
27,A-ya doo a-ye,Sun and fire
28,A-ya doo a-ye,Sun and fire
29,A-ri-a-di-a-mus la-te,"Rise now, waken, evermore"
30,A-ri-a-di-a-mus da,"Rise now, waken, on"
31,A-i-a na-tus la-te a-du-a,"Born of gladness, evermore, alive"
32,A-ra-va-re tu-e va-te,"Sun a-waits us, breathe and grow"
33,A-ra-va-re tu-e va-te,"Sun a-waits us, breathe and grow"
34,A-ra-va-re tu-e va-te la-te-a,"Sun a-waits us, breathe and rise up high"
35,A-na-ma-na coo-le ra-we,"Voices gather, calling round"
36,A-ne-ma-ne coo-le ra,"Spirits gather, call"
37,A-ne-ma-ne coo-le ra-we a-ko-la...,"Spirits gather, calling us on..."
38,A-ne-ma-ne coo-le ra-we a-ko-la........,"Spirits gather, calling us on........"
39,Ah-ya-doo-ah-eh,Oh the sky burns
40,A-ne-ma-ne coo-le ra-we a-ko-la.....,"Spirits gather, calling us on....."
41,A-ya-doo-ah-eh...,Oh the sky calls...
42,A-ya doo a-ye,Sun and fire
43,A-ya doo a-ye,Sun and fire
44,Ya-ka-ma ya-ma-ya-ka-ya me-ma,"Dance and thunder, dance and turning, sing"
45,A-ya-coo-ah-eh mena,"Oh the sky burns, sing"
46,Ya-ka-ma ya-ma-ya-ka-ya me-ma,"Dance and thunder, dance and turning, sing"
47,A-ya-coo-ah-eh mena,"Oh the sky burns, sing"
48,Ya----ka--ma me--ah,Dance----on----and----sing
49,A-ya-coo-ah-eh mena,"Oh the sky burns, sing"
50,Ya----ka--ma me--ah,Dance----on----and----sing
